Epoch,Recall@5,Recall@10,Recall@30,Recall@50,Recall@65,Precision@5,Precision@10,Precision@30,Precision@50,Precision@65,F1-score@5,F1-score@10,F1-score@30,F1-score@50,F1-score@65,NDCG@5,NDCG@10,NDCG@30,NDCG@50,NDCG@65,MAE@5,MAE@10,MAE@30,MAE@50,MAE@65,val_loss
0,0.07104245880724523,0.07113715577394362,0.09076108185201354,0.09241758414811391,0.09508185056686423,0.035724432541015136,0.017933239001484417,0.00866477332204919,0.005433238492431966,0.004337849707305643,0.0391001595760992,0.024404482773124157,0.014378236147008878,0.009579272184716749,0.007840255211207974,0.08080945581472902,0.0748966747937216,0.07963533326388146,0.08014737502195533,0.08077650634103603,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.2972571677555238
1,0.0841845826117523,0.09178631230381805,0.1019478767577146,0.10799821327170568,0.11832933353037912,0.04545454647582532,0.025639205118006266,0.010250947668365288,0.006619317987563342,0.00586210674373433,0.0483394525349881,0.033879851214640606,0.016899431610495827,0.01164365792382424,0.010544190959163561,0.09762061194156889,0.0937338030198589,0.09540850184566807,0.0969845503304069,0.09968657070104117,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.221463689569793
2,0.08952795866472033,0.09853962235303532,0.11815156674525827,0.1297755189628912,0.1361651115016271,0.05007102387025952,0.028586648317286745,0.012582860719042153,0.008728692876915871,0.007375437196143056,0.05239829645672051,0.0374078213049374,0.020582432982998645,0.015229244527952025,0.013177590984427794,0.10331911129072648,0.09931188841636124,0.1039357157106596,0.10726641080228463,0.1091971761548352,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.1795282742880673
3,0.09226208284896777,0.10263347756765805,0.12756849292649844,0.14090016612581993,0.15019045055272395,0.05248579663880677,0.030078125633405183,0.014098012322475288,0.010042613261082972,0.008604676748125878,0.054512534155616195,0.039275397424882445,0.022954494720166127,0.017421912689645647,0.015316539172173098,0.10558856541650709,0.10191296985034239,0.10868910777141784,0.11283776413487927,0.1155569578087042,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.1514078854136385
4,0.09301503331186144,0.1069676574281237,0.13428594852898226,0.14967692269287494,0.15905773187246683,0.05333806936819614,0.03210227338819426,0.015411932862744752,0.010994317776004953,0.009511582373141375,0.05516999104028483,0.04159113036637956,0.024933161165046677,0.01902498513730031,0.016868765660381705,0.10628997159867802,0.10411383113718,0.1115855026470275,0.11631073509753068,0.11925617133701136,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.1317190569260216
5,0.09301503331186144,0.10740154435717902,0.1376108218762304,0.15520326238633556,0.1661053699764042,0.05333806936819614,0.03231534156525,0.015968277607250704,0.011796874568310821,0.010145323654962174,0.05516999104028483,0.04185805802328766,0.025811303179414772,0.020341459349517456,0.017957866472319107,0.10628997159867802,0.10435396919704297,0.11304375249561747,0.11864313852790721,0.12184908022754826,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.1162516505732012
6,0.09301503331186144,0.10832068214288236,0.13833169769813222,0.1608267163233408,0.17276608842340382,0.05333806936819614,0.03259943247857419,0.016027463200523263,0.01248579499555159,0.01082823451625617,0.05516999104028483,0.04209635389799422,0.025915522731586614,0.02148478970312598,0.019120011182332582,0.10628997159867802,0.10470610680270263,0.113368440741562,0.12062719739597841,0.124182516984795,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.1051257559329788
7,0.09301503331186144,0.10846510792246343,0.1439699249167461,0.16234941821047952,0.17680678716384468,0.05333806936819614,0.032705966565779156,0.017412406466477973,0.012656249543810687,0.011172421592412073,0.05516999104028483,0.042185266205871645,0.02796134917430622,0.021761514716093767,0.01971445385292596,0.10628997159867802,0.10486128693711097,0.11577329632101199,0.12150339658149857,0.12576102645702616,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.0968867836660043
8,0.09301503331186144,0.10925726492198672,0.14470577817568978,0.16488546930486336,0.17725083890201693,0.05333806936819614,0.03380681888930584,0.017412406479706988,0.012997158639005978,0.011259834178583167,0.05516999104028483,0.0433402511222415,0.0279541128375885,0.022315237180340442,0.0198546185347368,0.10628997159867802,0.10556852000776086,0.11596475333565402,0.12239451981705232,0.12608801976999862,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.0897579220678075
9,0.09301503331186144,0.10948475281408966,0.14443787138655104,0.16535662450901742,0.17837173998652195,0.05333806936819614,0.0336292620499576,0.017436080748501063,0.013075283646520058,0.011363636631854619,0.05516999104028483,0.0432542531687597,0.027973488079045306,0.02243943591946101,0.02003139183546988,0.10627110123592005,0.10556144428185442,0.11605057020708708,0.12271574030323378,0.1265646918869937,4.230113636363637,6.191761363636363,23.666193181818183,43.49147727272727,58.47869318181818,1.0848777528443088
