EPOCH,Recall@5,Recall@10,Recall@30,Recall@50,Recall@65,Precision@5,Precision@10,Precision@30,Precision@50,Precision@65,F1-score@5,F1-score@10,F1-score@30,F1-score@50,F1-score@65,NDCG@5,NDCG@10,NDCG@30,NDCG@50,NDCG@65,MAE@5,MAE@10,MAE@30,MAE@50,MAE@65
0,0.02704494685991568,0.03257615693416624,0.05802977631853449,0.07965437273985587,0.09102033767667728,0.016545012165450124,0.011516626115166262,0.008326574749932415,0.006909975669099756,0.0062386923700792326,0.015685032023685968,0.01341788841139998,0.012632181251485918,0.011553153836970103,0.01078527363185276,0.02361573349058651,0.02648696440219523,0.03556827329990497,0.04160755300168833,0.04466425321942839,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
1,0.053725757035586595,0.06100349791343833,0.0965157344839306,0.11845049724659837,0.13431434794757596,0.0267639902676399,0.017923763179237634,0.011976209786428764,0.009602595296025952,0.008896375319732985,0.02879166226565141,0.02262431393681131,0.01863657005125027,0.016149961519394566,0.015440622768154994,0.05075275471807527,0.0546404810213896,0.06770303414079226,0.0742852267013978,0.07889526876346703,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
2,0.054412016157624934,0.06418351655516027,0.10639806487857746,0.12858436808763288,0.1512732429949275,0.02708840227088402,0.018896999188969997,0.013246823465801567,0.010738037307380375,0.010094204254788196,0.02928445822902109,0.02403671807420672,0.02072957390406797,0.018021111713672995,0.01750438364182379,0.0516977812269089,0.05664434815366598,0.07195687216692957,0.07894786763024023,0.0850373242059641,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
3,0.05445063663420161,0.07555981749609714,0.11102162784122441,0.14402203724472212,0.16430823454411075,0.027250608272506083,0.02222222222222222,0.014084887807515545,0.011889699918896999,0.011104872418741033,0.02934684515272188,0.028208719040565974,0.022000416648005294,0.02009114161839093,0.019260052077634787,0.05120040724594101,0.060648964350112196,0.07399524146579443,0.08373354816725113,0.08953205478093457,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
4,0.05543215110015711,0.0783245443144235,0.12075299407181601,0.1505588934880977,0.1742888765036806,0.028710462287104627,0.02376317923763179,0.015220329818869964,0.012570965125709651,0.011878470272630857,0.030425214863107695,0.03003277377874679,0.023809904055471703,0.021206838430041994,0.020637089871749996,0.052045417946560334,0.06261219526539442,0.07805374295176999,0.08725165993672011,0.09402675227216746,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
5,0.05922543838126639,0.0807467995773481,0.12849164168533328,0.15806828859484906,0.1839031487356526,0.033414436334144364,0.02538523925385239,0.016463909164639093,0.013495539334955394,0.012614635972300206,0.034192596526761015,0.031674562170752506,0.025726055715214465,0.02269082564521311,0.02193586311100152,0.0549568787406222,0.06458468769910337,0.08204139547916295,0.09130643554631883,0.09852327146285525,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
6,0.06458171324830561,0.0862875446450109,0.1350090875870271,0.16670086705758203,0.19412254833487136,0.037469586374695864,0.028061638280616384,0.017707488510408216,0.014501216545012165,0.013288414748268765,0.038079401529510115,0.034583495685534725,0.02761378756420871,0.024390146684763005,0.023115543706575314,0.058890611857922354,0.06884979352001472,0.08694985124949102,0.09694741393346683,0.1042119641203895,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
7,0.0698788275801322,0.09545624366220617,0.14168018909225874,0.17559326540403064,0.20167803155357283,0.042984590429845905,0.031467964314679644,0.018869964855366315,0.015587996755879966,0.013899806600536527,0.042451608037242336,0.03886990052289026,0.029475109950173807,0.026180708364975255,0.024138175487643004,0.06247461754450648,0.07382207927051368,0.09131891772674462,0.10211594178007731,0.10882481856626122,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
8,0.07827351896780414,0.10282984443337014,0.1504547076370997,0.18820646207485037,0.2080859368953378,0.04882400648824007,0.03471208434712085,0.02046499053798324,0.016382806163828065,0.014336515066442075,0.048081055774446844,0.04295492220301207,0.03192733570454704,0.027563339612734893,0.02489910902215113,0.06813994128958618,0.07934762620293806,0.09733235171359025,0.10851199396007598,0.11398546527621181,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
9,0.08296872205466316,0.10109748173107837,0.15671939530697848,0.19379533685449213,0.218460543138535,0.052068126520681254,0.036334144363341446,0.021762638550959716,0.016982968369829685,0.014947906918709838,0.051346481895878725,0.04428555130985768,0.03386746760922926,0.02854390889828378,0.025952678825530335,0.07313310410362743,0.0827863327181616,0.1034120053203942,0.11427159322474945,0.12070129391143782,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
10,0.08543857778196595,0.10576357806345243,0.16353316752024757,0.2031998495185775,0.2216092446643675,0.054501216545012166,0.037793998377939994,0.022762908894295757,0.017777777777777778,0.01527231892195396,0.05389682408334203,0.04630012725509884,0.03539424381695147,0.029851729575248526,0.026473910102878827,0.07662138779693572,0.08707159295581643,0.1085090898155769,0.12003529447027576,0.1250993411118737,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
11,0.08754327288725902,0.11060979946170471,0.1723989515023417,0.20566011501850442,0.22592602741800313,0.05677210056772101,0.04087591240875913,0.0238713165720465,0.017891321978913223,0.015621685694678394,0.055727758118921236,0.04972457556389816,0.037179076889678794,0.030024732067408615,0.02705381273367575,0.07710831523623925,0.08918944271004793,0.11123847194902704,0.12096746873357553,0.12667174263677644,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
12,0.08202574743184794,0.10970950026153448,0.17517287079955543,0.20976340938032792,0.22816196494950391,0.05612327656123278,0.041686942416869426,0.02465531224655312,0.018231954582319545,0.015758936926820136,0.05397448222972598,0.050408283981125554,0.03826358864763413,0.030595319469881102,0.027301159623156535,0.07429783815088058,0.08829164571784577,0.11156564506091772,0.12140530877986026,0.1266657311788632,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
13,0.07913783730593442,0.1082475557177133,0.18177105544214203,0.21324747286074572,0.2295070152296657,0.05628548256285483,0.042335766423357665,0.025168964585022977,0.018459042984590432,0.015833801235261086,0.0536216007049551,0.050775864148136944,0.03914863527820016,0.030989372597570407,0.02742985657534009,0.07401695536232274,0.08851715727343408,0.11397854526000843,0.12317259525410698,0.12794008193114517,4.090835360908353,6.265206812652068,24.153284671532848,43.97972424979724,58.92295214922952
