EPOCH,Recall@5,Recall@10,Recall@30,Recall@50,Recall@65,Precision@5,Precision@10,Precision@30,Precision@50,Precision@65,F1-score@5,F1-score@10,F1-score@30,F1-score@50,F1-score@65,NDCG@5,NDCG@10,NDCG@30,NDCG@50,NDCG@65,MAE@5,MAE@10,MAE@30,MAE@50,MAE@65
0,0.021147562555214456,0.04604617841520071,0.10643732679548282,0.14760068757805242,0.175324696578098,0.0374414976599064,0.03962558502340093,0.029927197087883516,0.025101404056162246,0.023184927397095885,0.022507556709491502,0.03648999907520954,0.0417835427935616,0.039507987107041315,0.0382660558046331,0.022067580556014384,0.037638891066796146,0.06401926672446781,0.07886458066919654,0.08818086078168487,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
1,0.03365477278751006,0.08745344526204647,0.2141686625687179,0.2765985056923741,0.31849737252222354,0.058346333853354145,0.07191887675507021,0.059386375455018195,0.046411856474258974,0.04100564022560903,0.036193281362364445,0.06714864366157032,0.08332059183864439,0.07313524322700954,0.06772724653658821,0.03491764188210005,0.06761655533734724,0.12389413819472853,0.14614274451039222,0.15942904066314856,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
2,0.04121584112975207,0.08040282903537495,0.2481045852519133,0.3273884314552092,0.36495326477617196,0.06193447737909517,0.062402496099843996,0.0656526261050442,0.05346333853354135,0.04590183607344294,0.04109824874485204,0.05949617614361291,0.0928726505236528,0.08449101891853611,0.07596560150902518,0.03949460433834321,0.0630332403622978,0.13696966019150178,0.16557471740407181,0.1775054464269245,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
3,0.05803168953935825,0.11022776494527137,0.2436892336349566,0.31835437825026364,0.35479581122485127,0.08315132605304212,0.08322932917316692,0.06294851794071762,0.05031201248049922,0.043765750630025205,0.05706722331309082,0.0803874722855274,0.08924637436374316,0.07978341807641239,0.07250614127133774,0.05427909049885076,0.08592600055495055,0.14356813037977156,0.16985950813527942,0.18186770896666696,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
4,0.06271464236746463,0.11993784571848472,0.24899332448872913,0.3140680287017337,0.3481216539452832,0.08845553822152886,0.08759750390015601,0.0626365054602184,0.048611544461778476,0.04198967958718349,0.06108782044795987,0.08566111610068095,0.0893184809103921,0.0772781411642243,0.06974644513392708,0.0689126920204313,0.1027097732044662,0.15799952232120892,0.1810055564530901,0.19207088736911884,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
5,0.06880272260827267,0.12294299544798767,0.24445731000340945,0.30275894520387614,0.33778629525306264,0.09734789391575664,0.08931357254290172,0.059958398335933444,0.045335413416536664,0.03954158166326653,0.06769416437212329,0.08708901140842486,0.08587132985091386,0.07243453894934088,0.06590566602403386,0.08084727675482117,0.11234549194629809,0.16375947071244884,0.18406362084666808,0.19537702719515496,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
6,0.07297457265270334,0.1256620668238368,0.234330102342622,0.29300020515908054,0.324919006856676,0.10265210608424337,0.08868954758190328,0.056786271450858024,0.043385335413416534,0.03729749189967599,0.0718843364125979,0.08751075573092991,0.08136832764653665,0.0694353586970011,0.06232784100654272,0.08763965347567644,0.11754177966099828,0.1636210441000215,0.1841137452187567,0.1941223565887366,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
7,0.07801892349597264,0.12466873106759377,0.22608234439729716,0.2888964403365452,0.31562283651361067,0.10842433697347893,0.08751950078003119,0.0545761830473219,0.0420436817472699,0.035725429017160686,0.07618358133549949,0.08664994476012759,0.07824544001463103,0.0673526298169817,0.05979807762090788,0.09149105732921027,0.11818739631888348,0.1616299607871833,0.18282107961569585,0.19145211936259493,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
8,0.08279426057369829,0.1263323169577088,0.22534216094216683,0.2830292478858103,0.3132105896489592,0.11045241809672386,0.08829953198127924,0.053380135205408207,0.04045241809672387,0.034897395895835834,0.07920835423763077,0.08774808896477373,0.07672734258897557,0.06497372247316326,0.05842522672290088,0.09400793082804146,0.11955826333968611,0.16120616454075873,0.18056223108341182,0.19001357756507245,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
9,0.08457937729604699,0.1278438994725251,0.22376580213977526,0.2812243340130357,0.31082870471752905,0.11138845553822153,0.087207488299532,0.05236609464378575,0.03984399375975039,0.034609384375375016,0.0806831365461778,0.08745840119130034,0.07553070549696549,0.06398616472622379,0.05797347988518679,0.09571539234085057,0.1205829372859656,0.1611314808217832,0.18019845789289202,0.18994656611817726,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
10,0.08471192918365326,0.12957642746047626,0.22540387044380994,0.27967285578930146,0.3105608673001419,0.11060842433697349,0.0857254290171607,0.051560062402496096,0.03923556942277691,0.03405736229449178,0.08062605375799879,0.08687935334488106,0.07465161347825401,0.06311290659589303,0.057118143937110025,0.09624849907372614,0.12126963968742531,0.1616586118111547,0.1801101295091261,0.18990290274908345,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
11,0.08459414404416597,0.13421676757740858,0.23026344692773412,0.2812375665978037,0.31053784670135187,0.10951638065522622,0.08619344773790952,0.051638065522620895,0.038720748829953196,0.03356534261370455,0.08026410394927197,0.08823758946080427,0.07493159874218114,0.062423844428870626,0.0563682781415801,0.09625936230743726,0.1232070056576381,0.16330259177179324,0.18060315955619616,0.19001985821626535,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
12,0.08620787798613058,0.13462519364153178,0.23253681355524525,0.2822585117489168,0.31228178644228266,0.10873634945397816,0.08455538221528862,0.05119604784191367,0.03840873634945398,0.033097323892955714,0.08087663451813436,0.08712126933202445,0.07468609078393036,0.06204365984725647,0.055672067112245496,0.09686926429117337,0.12296929109796731,0.16396905764846778,0.18093931278324812,0.190149546464552,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
13,0.08610377250127059,0.13592386128724446,0.23434267304698225,0.2857707129609783,0.30923057576888563,0.10764430577223089,0.084399375975039,0.05124804992199687,0.03826833073322933,0.0327853114124565,0.08049448739282537,0.08739492549721715,0.0748618454414189,0.06191903755250684,0.05516500259194996,0.09577965475478527,0.12260262313757997,0.16390194720568593,0.18102230659636243,0.18893208426323616,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
14,0.08765120203645237,0.13873952230672668,0.23902035193279217,0.2852659918327871,0.3110357241791759,0.10717628705148206,0.08400936037441496,0.051248049921996885,0.03784711388455538,0.032893315732629304,0.08058492837713396,0.08784949230317693,0.07520975892797852,0.061334724183149655,0.055359946601442146,0.09584132234240818,0.12308365558639955,0.16478591516597166,0.18046800565882137,0.1892287839866444,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
15,0.086756602559421,0.14093891651664708,0.24273230981198407,0.2877047954491018,0.31487832930776116,0.10452418096723869,0.08354134165366614,0.051300052002080085,0.03819032761310452,0.032953318132725305,0.07923047327750878,0.08822651605252706,0.0755504000001901,0.061887367483898524,0.05553893589201207,0.09486040472837572,0.12357960720498445,0.16564005966494225,0.18130805913759634,0.19010896096063704,5.543681747269891,6.403276131045242,21.97581903276131,41.844773790951635,56.844773790951635
