Epoch,Recall@5,Recall@10,Recall@30,Recall@50,Recall@65,Precision@5,Precision@10,Precision@30,Precision@50,Precision@65,F1-score@5,F1-score@10,F1-score@30,F1-score@50,F1-score@65,NDCG@5,NDCG@10,NDCG@30,NDCG@50,NDCG@65,MAE@5,MAE@10,MAE@30,MAE@50,MAE@65,loss
1,0.05430245046400039,0.07036601279921023,0.08778412864250962,0.10495119994260887,0.12138574827674396,0.07232997237195843,0.04660915752360343,0.019823242330216654,0.014411701788125517,0.01312433214551847,0.05052065533394936,0.04606190753559163,0.028505543852261242,0.023102041528453514,0.021926176705958783,0.0492941771001669,0.05236331690233477,0.05413713530979946,0.05519304595835397,0.056078329887233866,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.6635599099559548
2,0.08113852164193419,0.10367663317328771,0.1428872611684346,0.17428835053417893,0.19871884923564764,0.10506555166266807,0.07061585614389493,0.03329413362712667,0.02494183166456334,0.021949833478206594,0.07400915275210992,0.06899476738897786,0.04756622730710036,0.039762367611273323,0.03662578853330664,0.06963100086168814,0.07421387116688238,0.0780858240823101,0.08009171742994545,0.08136538266005039,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.6197207180070289
3,0.0911110976851739,0.1132110809778108,0.1725836357657833,0.20233515845735092,0.22377978686884986,0.12143392704096234,0.07521447221097403,0.040932385510796226,0.02896349186648267,0.025307337938577795,0.08421338765953819,0.07428219944633549,0.058344697543446754,0.04626905778749604,0.04218140005229138,0.07595639494382025,0.0798393541047624,0.08569919919110225,0.0875813647270252,0.088805782962017,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5976694064375795
4,0.09126351312650709,0.11373296010707935,0.17540187345104857,0.20810252878690083,0.23092275546661875,0.12236925632063524,0.07634469892304109,0.04124415004429925,0.029875388855313476,0.025882872583711882,0.0846380767465474,0.07499370738480672,0.05886292550495056,0.047684946751464466,0.04314735989410805,0.08383921594144841,0.08793650062962356,0.09431263243573386,0.09640603866934448,0.09764767122599757,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5881757066573625
5,0.0922882960164166,0.11785875589514931,0.17461326878607877,0.2077556797423032,0.22807798437652232,0.11909559789525283,0.08082644194248405,0.04090640215974066,0.029672752017632927,0.025283358567223732,0.0841483683299944,0.07899941900049627,0.058420717948503266,0.04736567770050358,0.04219810682075245,0.08371996794067271,0.08876606449884067,0.09446862129137408,0.09658904730295871,0.09767815231259212,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5863154339201656
6,0.09264878044812269,0.11891176695017172,0.17285680733708228,0.20671763014997807,0.231721397869678,0.1197191864275319,0.08078748029558712,0.040529677761966885,0.029571429138897178,0.025732984416482974,0.08457185621848816,0.07918288720741183,0.057907562374789924,0.047209064010893656,0.0429378786035004,0.08371838082981152,0.08885954616414216,0.09435479505320057,0.09654376663057829,0.09786812362510824,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5844390215697112
7,0.09246407536352787,0.11805731044183554,0.17448477622409025,0.20910363855161243,0.2304867085124586,0.12003097474714415,0.07930652145659282,0.04088042475521239,0.029859805980512896,0.02557710809625877,0.08458937468792625,0.078098763921534,0.05835285617890808,0.04762479465451913,0.04267605003303415,0.08417590937649051,0.08916907858637772,0.09492785359924442,0.09712247263849949,0.09827353412485794,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5847565561165045
8,0.0927313717658503,0.11924560499302782,0.17414939208413507,0.2082148943668404,0.22734415912107853,0.1197191745344773,0.08031979186964147,0.040776497297517415,0.029992303528640758,0.02518742918875286,0.08450961986372273,0.07891192774427003,0.058263129028415454,0.04784561597269583,0.04203071802366737,0.08343653099296364,0.08859036506653785,0.09423380003518346,0.09645106146962833,0.09743296597040435,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5839098809677877
9,0.09252607980372844,0.11945429242224036,0.1754261471755042,0.2094418532385644,0.2316192841028108,0.11948532140171352,0.08008600414867803,0.04068556300198205,0.029727311405648688,0.025505167008932923,0.08432996338080914,0.07876990683266454,0.058240787925333694,0.0474515574478304,0.04256766862638835,0.08297945824629589,0.08816727580080158,0.0938114694391166,0.09597415802020373,0.09714821333483745,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5840746098094516
10,0.09248864046782139,0.11977300249963464,0.17415200855614893,0.20870277125298373,0.2289491744126924,0.11932943913496201,0.08004701276914458,0.040672590652668004,0.029719509561825615,0.025157452744612542,0.084248906267126,0.07885934260331924,0.058137413494678,0.047419006157367376,0.042017947856281664,0.08409541435844597,0.08931947664255371,0.0949073260984313,0.0971011191046494,0.09817013293301464,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5836855886894979
11,0.09188311153896507,0.11911549497561258,0.17391537244860678,0.2098452656508793,0.23189061225064547,0.11909559789525283,0.07782563992245348,0.04078949640620433,0.029774083816159636,0.02570301391886996,0.08394026366045766,0.07732593539350217,0.05825973356132478,0.04750270947570087,0.04287029037416121,0.08318136721582313,0.08825625178156622,0.09400762739901257,0.09623783926384426,0.09744159890402657,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5832190366438877
12,0.0925924727810795,0.11907458286775989,0.17417228621425615,0.2085161930122881,0.22967705314083203,0.1193294510280166,0.08121615950241742,0.04062060611097495,0.029532464518736604,0.025223402705679437,0.08430590967786378,0.07942990595162705,0.058090091030391415,0.047133162536383236,0.042123237068729294,0.08324187307742686,0.08852065425432945,0.0940307470672602,0.09618311680509292,0.0973202600955037,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5847596857282851
13,0.09242028513645996,0.1205203263720589,0.17429536743639784,0.20947313197218434,0.22821361277127583,0.11917353308210128,0.08004701276914458,0.040724548434988184,0.029883184752609242,0.025163446844135146,0.0841177020886868,0.0790623570454836,0.058202486342967534,0.04769968521938785,0.042009780301029385,0.08343366660694544,0.08875023678964293,0.09428383905291035,0.09653758744031209,0.09752210529211877,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5835785218227056
14,0.09263806480592057,0.11956216242753799,0.17425983098922812,0.20857896455451091,0.22838147134401793,0.11956326848161657,0.07985218074855076,0.04073753565062049,0.029680536021874086,0.025307334965314145,0.08437646522432775,0.07868734524757344,0.05823193949270509,0.047375034561216695,0.042224857273830255,0.0833994791801621,0.08854988297020737,0.09411658956803562,0.09627870656186983,0.09735480225964399,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5834291776021322
15,0.09263741663444441,0.11904018815383258,0.17580059999984776,0.20894807739733534,0.2280202317033442,0.1193294510280166,0.07918964246242936,0.04112724429076292,0.029805255512288093,0.02515146161835359,0.08430467874671181,0.07814175731394316,0.05875034585002801,0.04753566810328423,0.04199511021817,0.083439992976666,0.08851516230354145,0.09429514106066893,0.09639076855242694,0.09740240528794124,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5847434563401305
16,0.09379489628114648,0.11933554027197608,0.17507416033131576,0.20880559860312745,0.22880705241012275,0.12431789763904788,0.08004702466219919,0.04065959451724474,0.0299143564487377,0.025271364421651222,0.08681771686461784,0.07873061812676588,0.05817751687481732,0.04772008180804115,0.04219207704206602,0.08375014811289654,0.08842106025291437,0.09407827735149729,0.09626580728726085,0.09731137583000311,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5852971334516266
17,0.0929484200124525,0.11879578588163119,0.1752135231452163,0.20857401704379383,0.23028626297008964,0.11979712161438036,0.08004701276914458,0.04091939532190027,0.03014037503177824,0.0255471346253821,0.08463817783751157,0.07868075649532041,0.058450914414153836,0.04803188499397165,0.04262643220920816,0.08371262786153556,0.08875779497574374,0.09448629269933158,0.09668345713809376,0.09779554670760067,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5847414062346941
18,0.09265166451386521,0.11896055226017513,0.17478518289044231,0.20849057537266172,0.22804527847634937,0.11995300388113186,0.07985217480202346,0.04107527461538813,0.0297117166377935,0.025109491028640758,0.08463205886091558,0.07847177173974267,0.05869441281420499,0.047415566091321915,0.04192668055521726,0.08339937785400814,0.08846067914932339,0.09417716017633891,0.0962761838841292,0.09731312503490891,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5842190605622751
19,0.09292415223452419,0.1194640447270192,0.1753394468074094,0.20811810868843775,0.23045012547648333,0.1197191864275319,0.08082644788901135,0.04086743456631643,0.029789672637487517,0.02555313467143201,0.0846015710154271,0.07934101726148432,0.058464395191552394,0.047493159352850374,0.042617973274117975,0.082907363127798,0.08809963605182997,0.0937209345045734,0.09583741645651724,0.09701644757088196,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5843417637142134
20,0.09246902287424494,0.11872427294427124,0.17563799815724254,0.2086066277995299,0.22959741724717458,0.11956323280245275,0.0802418507362657,0.04068556894850935,0.029922143426242512,0.025541140525859495,0.084440985045578,0.0788153442477957,0.058233158530802444,0.047716564437140736,0.042607676862090806,0.08291121249087881,0.08803762377451,0.0937447688353211,0.09590140832457415,0.09702833829918006,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5846026120362459
21,0.09264867935715851,0.11979691943245202,0.1744501555421254,0.2101154044932531,0.2282020289360873,0.11971913885531348,0.079540362696302,0.04050371225049323,0.030109206308913436,0.025097502829595553,0.08458129335731988,0.07853682080192298,0.057908436514303635,0.04801758656906877,0.041903408820612394,0.08199967105385854,0.0871406718809085,0.09273581795589686,0.09505286216296674,0.09597911910913937,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5840283808884797
22,0.0925223097054176,0.11779560377517902,0.17431945087197973,0.206919169853371,0.2294198539418721,0.11964121556151963,0.07782561613634426,0.0403997877660619,0.02948568616169835,0.025253379149819757,0.0844631001806222,0.07709474630497065,0.05780654276894668,0.04704603996484984,0.04215487259398748,0.08299160628512049,0.08782804853973195,0.09367593402509009,0.09579532664263402,0.09696690077510163,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5834311887069985
23,0.09196983569316909,0.11945203274186476,0.1744319234894108,0.20799789369245664,0.2302669486494057,0.11925145637589511,0.0791506213502594,0.040282873092734615,0.02949348503225777,0.025451214166702187,0.08404046264553293,0.07828307653532675,0.05766360014560905,0.04708410071286018,0.04247838449217989,0.08381421686043428,0.08900281976340796,0.09462539108766974,0.09678424523823219,0.0979814524751444,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5853043176509716
24,0.09231483536777511,0.11794156723438717,0.17618074959734875,0.20678860789988066,0.2320238382483681,0.11956329226772579,0.0798131596363808,0.040893417917372006,0.029727317352175993,0.025619072739444297,0.0842626130125621,0.0783620107387623,0.058508958467169844,0.047405302385194914,0.042757853435893965,0.08363236026186568,0.08867975784536808,0.09454392070667157,0.09656442052848777,0.09785159853223889,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5840480327606201
25,0.09305353677560832,0.11881129442484047,0.1738552530575616,0.20810495497004092,0.23080751176746395,0.11948532140171352,0.07961833356231428,0.0404647387105417,0.029875400748368083,0.025403255423994058,0.08465203324613028,0.07824784336104955,0.05789101318930242,0.047664243916655,0.04241238695889456,0.08318947297713297,0.08815422581998009,0.0937891781499968,0.09601318152764389,0.0971596262394868,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.583422957379141
26,0.09283785623028608,0.11908777226532054,0.174437049395947,0.20880077002295644,0.22991538995518315,0.11940735053570124,0.07895579527619288,0.04063360819292552,0.029898779520464425,0.025433231868134377,0.08449365343791103,0.07801240845202284,0.058091714432345454,0.047678250961719966,0.04245264792200744,0.08285720120978977,0.08789401617886924,0.09360226105542205,0.09581069703125311,0.09692243380435406,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5847900399455318
27,0.09467944816416907,0.11982845981327334,0.17333497949066518,0.20853643499123148,0.22972714668684235,0.12455171509264784,0.07922859816279898,0.04026988587710231,0.029657160223041396,0.025553131698168356,0.087377671608215,0.07834798882737906,0.05764950687589816,0.047299686113745555,0.042633062587152305,0.0742473245982374,0.07878336722585819,0.08433096569713092,0.08656293868587374,0.08774463666366328,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5844101854312567
28,0.09274545908903388,0.11809037313364673,0.17531042775416505,0.20749990770989624,0.22906284822863893,0.11932939156274357,0.07809840712989576,0.0408154738107326,0.02961819262961717,0.025343302535713416,0.08437215993855952,0.07737422714173933,0.058346963170349646,0.04726976021508732,0.0422965129278455,0.08306962380727241,0.0879465276106832,0.09384113441283842,0.09591606290976859,0.09705425241006799,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5837076512383826
29,0.09260503184674591,0.11888316415383866,0.17440348719584226,0.20796751883098694,0.22737201265497126,0.11909562168136205,0.08012493011641113,0.04088042772847605,0.029664962066864465,0.025031555841792306,0.08421087822501583,0.0788452969058268,0.05840128469727324,0.04732045733361902,0.04179393622620628,0.08324125769169927,0.08839632427742355,0.09402972323451966,0.09614194245371657,0.09715871886798091,5.302026500389712,6.48207326578332,22.347233047544815,42.214731098986746,57.214731098986746,0.5842128116407512
