Epoch,Recall@5,Recall@10,Recall@30,Recall@50,Recall@65,Precision@5,Precision@10,Precision@30,Precision@50,Precision@65,F1-score@5,F1-score@10,F1-score@30,F1-score@50,F1-score@65,NDCG@5,NDCG@10,NDCG@30,NDCG@50,NDCG@65,MAE@5,MAE@10,MAE@30,MAE@50,MAE@65,Loss
1,0.06392898240572167,0.08882446121542158,0.1290152330849955,0.1577842145859221,0.1729031246830377,0.039808187804179086,0.027977383338105684,0.015755320164137172,0.012904380188950033,0.011397520315357405,0.03971404042524654,0.03567417597891339,0.025292192350986058,0.022075429353434435,0.020056656537599655,0.0742866851224367,0.08548015201647734,0.09969669515416325,0.10876432986625527,0.113211135697121,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.73118997
2,0.07960856105470124,0.09108166481430054,0.12741051627454397,0.1566903324488527,0.1796071834881113,0.04753793300887549,0.02953764672201656,0.016456722969748358,0.01334812482107145,0.012078002158164,0.04842494808418476,0.03733921634246333,0.026153789862885687,0.022727794748053226,0.021200305218625586,0.08281778058622671,0.08869142860567185,0.10197232912672909,0.11112758954191053,0.11727986017418314,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.6030525
3,0.08231127059510326,0.09123266125161962,0.12432095848594703,0.15480552986579024,0.17436710288298726,0.05052963068995238,0.029602061265389022,0.01658793778032188,0.013383910678500584,0.012027351406110422,0.050832632642716265,0.037412619911513637,0.026126013678138216,0.022743599408579725,0.02106495409626597,0.08398001218727084,0.08841330937562884,0.10120473096265561,0.11068727136170985,0.11618553034706863,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.5063605
4,0.08233480250741272,0.09182280929749553,0.12939145052264375,0.1561944714289893,0.1750781970887585,0.050558259375895705,0.030310621242486208,0.0171986830804459,0.013542799885486007,0.01223215662093571,0.05085423669738645,0.03798861510103002,0.027138626438998652,0.023010256153139574,0.021406263683267535,0.08399282762422974,0.08878918621311006,0.10276809628176213,0.11123803361972771,0.11672335696192562,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.4501241
5,0.08241163223202486,0.09321261401626998,0.12921491852908987,0.15644232468300587,0.17616880746685565,0.05058688806183903,0.03091898081878178,0.01733466933867664,0.013541368451188864,0.01235988460437513,0.05088566209319609,0.038703104435934076,0.027307556085829337,0.023005221380785822,0.02161722630483971,0.08385725896149626,0.08921456513227828,0.10276457427827827,0.11120415207386793,0.11698592560791864,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.41835403
6,0.08244741808945401,0.09098033637896738,0.12829695382921572,0.15568546347332798,0.17422470630790518,0.050615516747782356,0.030310621242486308,0.017177211565988414,0.013525622673920034,0.012240965447379796,0.05091747174424421,0.03769081669665637,0.02703866141734683,0.02296479489569836,0.02139391941821709,0.08445355203682586,0.08895671674131178,0.10308192500611567,0.1117034366670564,0.11714974726581476,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.3982195
7,0.07937993191106574,0.09093113082500233,0.12812951862927272,0.15561948270686032,0.1741981239971424,0.04924133982250293,0.03029630689951465,0.017184368737474247,0.013451188090467409,0.012239864344074283,0.04933272278324119,0.03766564862110182,0.027048851926814232,0.02285121569368413,0.021391685581048803,0.0830238253546619,0.08881120724420095,0.10286090046144977,0.11138002960650731,0.11690179491082338,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.3842665
8,0.07935938546510189,0.09091323789628775,0.1281095381922081,0.155602733119541,0.1751627872433658,0.05047237331806573,0.030289149728028816,0.017184368737474247,0.013452619524764576,0.012376401153957807,0.04994304865204161,0.03765542409040778,0.02704727459557036,0.02285210483794612,0.021623626441144628,0.08330348802150797,0.08869931868280423,0.10279250483812737,0.11128646307456902,0.11713880704019422,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.37399915
9,0.07935938546510189,0.09092388631898775,0.12701979148260434,0.15607836229387242,0.17498265520543393,0.05047237331806573,0.030439450329231222,0.01707939688901543,0.013519896936731387,0.012251976480434922,0.04994304865204161,0.037759833168380705,0.02684201841769591,0.022960741776488765,0.021417611924940474,0.08260919226745701,0.08795727214650932,0.1016755187661341,0.1106035791932998,0.11610897192014277,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.36613595
10,0.07935938546510189,0.08579816598433433,0.12665722246132083,0.1556014984231517,0.17392037504327795,0.05047237331806573,0.02917263097623928,0.01702691096478602,0.013441168050387252,0.012148472769716772,0.04994304865204161,0.03605940313469124,0.02675513465076947,0.022833552502297363,0.02124173434611659,0.08260165353703176,0.08608348572876272,0.10139407221541968,0.11025528185778251,0.11562088259511526,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.35994816
11,0.07936315239746286,0.0857847701473364,0.12683721194843078,0.15352439456837202,0.17057234625648396,0.05048668766103739,0.02916547380475345,0.017031682412443242,0.01325794446035001,0.011878702459866284,0.04994901296161314,0.036049344822510376,0.026761030577237017,0.022513912237816906,0.0207560909066051,0.0826089269815681,0.08608112868037306,0.1014578120996005,0.1097173559476216,0.11471097197169275,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.35498056
12,0.07937049791556673,0.08580180666236892,0.12682354825741238,0.15354731197605895,0.17150295675789715,0.0505153163469807,0.029186945319210934,0.017031682412443242,0.013263670197538676,0.011945869761502527,0.049960703008373325,0.0360678737622685,0.026759175198984245,0.022522815303908036,0.02088012553422423,0.08261669978297843,0.08609515039976542,0.10145908223188861,0.10972432234513019,0.11495284806425592,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.3509253
13,0.07937049791556673,0.09094964565114183,0.1268271268431553,0.15386683730097894,0.17285485697940528,0.0505153163469807,0.03046807901517454,0.01703406813627185,0.013255081591755676,0.012028452509415942,0.049960703008373325,0.03778374719914065,0.026762038067578573,0.02252033947391743,0.021033566589489634,0.08260117469565031,0.08790216020969932,0.10149495994657248,0.10980682824147749,0.11529686543002678,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.34756237
14,0.07934664067728063,0.09093771703199877,0.12679134098572614,0.1538350276499308,0.17023672814339252,0.05048668766103737,0.030460921843688708,0.017026910964786025,0.013250787288864179,0.011803827435091459,0.049934676930243026,0.03777480073478336,0.02675010944843553,0.022512801048744698,0.020634294675518933,0.08324413893239362,0.0885527769935251,0.10211415458822529,0.11042755995611794,0.11519508856423882,4.233610077297452,6.1869453192098485,23.684655024334383,43.50572573718866,58.488834812482104,0.34472957
