Epoch,Recall@5,Recall@10,Recall@30,Recall@50,Recall@65,Precision@5,Precision@10,Precision@30,Precision@50,Precision@65,F1-score@5,F1-score@10,F1-score@30,F1-score@50,F1-score@65,NDCG@5,NDCG@10,NDCG@30,NDCG@50,NDCG@65,MAE@5,MAE@10,MAE@30,MAE@50,MAE@65,loss
1,0.00046978683505800417,0.001669079843701958,0.030326714967785665,0.041964445984214276,0.04919062906173133,0.00042933812081707187,0.0009302324387169908,0.004174133532802193,0.0033059091175604806,0.0029998721291639298,0.00028222667083330785,0.0009144909266709002,0.006571820554238526,0.00563025500138885,0.005269702304028015,0.0005101912203436461,0.0007220841611007458,0.0030344502858764264,0.0035766832736255816,0.0038725500130835982,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.676478499038653
2,0.042046073681553275,0.04909213753633721,0.0730850137836818,0.0927788203858732,0.1032726308314233,0.02375675535799139,0.01635059227030691,0.009016097039784003,0.006919563307105322,0.006131849476604428,0.0246988231679408,0.020206504644349563,0.014265600214703992,0.011862395530523255,0.01080217924442189,0.04856271223233403,0.0497796008033488,0.051709525614530384,0.05271201677377167,0.05317729303558325,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6444601538506421
3,0.06063761975556239,0.08065577525785443,0.10676718287049977,0.12723510960560153,0.14080478620443873,0.038783400643063785,0.02697658914146355,0.01375070343290544,0.010662014710455333,0.009373914278470553,0.03794522635198876,0.03346781176190044,0.02164397538241419,0.018085123515939456,0.01637672328778371,0.06133951020555334,0.06417341600397139,0.06642115191791427,0.0676291581545665,0.06826375974650446,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6256912668997591
4,0.07748804518916312,0.09247677825218023,0.13429615655397473,0.15284427103714782,0.17143848398717018,0.047083840685794943,0.03101948036917207,0.017340404530970483,0.012765804556913155,0.011283925692809076,0.04726466961964725,0.03866509179949547,0.0274305340215857,0.02166803049486737,0.01977236752859808,0.0681681016586681,0.07050217584388627,0.07406552746668725,0.07517981730461494,0.07602591773125214,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6165946261449293
5,0.07928491909729987,0.09248462874902169,0.13509081463481104,0.16535220888305008,0.18088215126760956,0.04772784347397697,0.0306259127976856,0.017698180824784773,0.013882100987306434,0.012109578359532228,0.04796587512403567,0.03808790285386852,0.027938744505744073,0.023617411768713664,0.021204531811217717,0.06928662248089083,0.07146613270290902,0.07507646322993425,0.07677841324697388,0.07752629894420025,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6101675351912325
6,0.08109080633665026,0.09431675346251676,0.13848172701322115,0.16662844417346825,0.18769727785386853,0.048157175026554117,0.03041125521037148,0.017936695624336148,0.01376760820583282,0.012412317920882715,0.04883137329319935,0.03827621651037008,0.028355388607236694,0.023467010334267385,0.021761135039901052,0.06924175576761711,0.07133645484913707,0.0751874249735064,0.07676832628917875,0.0777508794478339,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6071213470263914
7,0.0821475880303835,0.09450099446905746,0.1478336886984291,0.1798331654775548,0.2015124926626789,0.04744162243892554,0.030661693156725178,0.018664180912570577,0.01468355045762173,0.013248979981342241,0.0489147315938059,0.03839917123211091,0.029686380840158205,0.02504542697094421,0.023268296680211593,0.068844831007831,0.07086743318054271,0.07520257811143674,0.0770053467734955,0.07804681027794594,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6043555983765558
8,0.08313081635558754,0.0984821135328153,0.14689618214724956,0.18228131944250336,0.20490392913545394,0.04887272215486639,0.03166347496837964,0.01833025091236094,0.014690708986121981,0.013127884156802046,0.05018927449617062,0.03986291765953433,0.029197182425019567,0.02513802243473278,0.02313739319393588,0.07022799036343963,0.07256765241429797,0.07658266907337927,0.07854928355972235,0.07959888553295172,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6042932014573704
9,0.08288144570557078,0.09534557253815407,0.14302387817601186,0.18593094882043829,0.20943208261124777,0.04830028554407983,0.03084057038499972,0.018318330495216764,0.015041337670068622,0.013540710831370891,0.049657089424474506,0.03872269031613372,0.02900837197073457,0.02572620917304897,0.02384887586126174,0.07120456700621436,0.07321103101509602,0.07729130186563714,0.07958615631329925,0.08069681430323805,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6032257709990848
10,0.08177726076839222,0.09730116514912232,0.14259051764800426,0.18878274279544946,0.20837808516882828,0.04729850646208352,0.0313056904855909,0.018091740207296793,0.015227387075134168,0.013348058383238763,0.0489265564729148,0.03942704584602806,0.02869380070612981,0.026053519752243123,0.023526699769049083,0.07062944830037081,0.07305502994919,0.07696902958746193,0.07946642702003884,0.08038332000364798,4.235778175313059,6.205366726296959,23.694454382826475,43.55635062611807,58.54633273703041,0.6024420085278425
