Epoch,Recall@5,Recall@10,Recall@30,Recall@50,Recall@65,Precision@5,Precision@10,Precision@30,Precision@50,Precision@65,F1-score@5,F1-score@10,F1-score@30,F1-score@50,F1-score@65,NDCG@5,NDCG@10,NDCG@30,NDCG@50,NDCG@65,MAE@5,MAE@10,MAE@30,MAE@50,MAE@65,val_loss
0,0.019119354718200424,0.019860725210483644,0.04529767788963929,0.058535933641618805,0.06226097286647134,0.022368421472447577,0.011958204561573434,0.011597008011866096,0.00948142382567143,0.007710169242109654,0.016899123653804093,0.012416071182076499,0.016443840171795787,0.015006597804759079,0.012784651453223298,0.04224191481483979,0.03456731714688864,0.04243149352332018,0.047186059679766836,0.048291203326577374,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.2633020862843256
1,0.03528508103968743,0.04476197272605456,0.07052364267463632,0.09433856797073002,0.10777169450736913,0.0490712084671938,0.034520124558117184,0.017595460380343923,0.014914860160323581,0.01317575648852304,0.03401216713209916,0.03281116450274646,0.024925632174516058,0.02362201590705144,0.021843378922985664,0.06495764731046032,0.058527932620546765,0.06173553776886925,0.07042414298563641,0.07471008627277571,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.2301538260477893
2,0.043777630337868634,0.051767749933168385,0.09198084330019013,0.11052885593633072,0.12274100834175068,0.06687306658286982,0.039821982308760884,0.02382611094227193,0.017763157300189736,0.014997618912644223,0.044315495758948865,0.03783636502690913,0.03359301801159655,0.028070002501605556,0.024867589268314394,0.08278565144529652,0.06964310169243038,0.07729896356426641,0.08409191281664483,0.08774372736055508,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.2126150671041236
3,0.043777630337868634,0.05770055816981699,0.09566375837537341,0.14918724787147605,0.1874069520056063,0.06687306658286982,0.045278638719520516,0.025103200735933733,0.02334365253437645,0.021874256507744407,0.044315495758948865,0.04268046443843666,0.0353184775780921,0.03706163992880391,0.036429585749139265,0.08278565144529652,0.07392309755144566,0.08055744867702663,0.09936808867973994,0.11043369143786076,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.2025933393142507
4,0.043777630337868634,0.05770055816981699,0.1271954442953962,0.17493509902581342,0.19087780547261976,0.06687306658286982,0.045278638719520516,0.03324303594807122,0.026609906334222378,0.02224934585291558,0.044315495758948865,0.04268046443843666,0.04698399148287465,0.04232592429769667,0.03705424578837335,0.08278565144529652,0.07409109974758636,0.09557664983591567,0.11136320376359272,0.11619152430295021,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.1941138273515042
5,0.043777630337868634,0.08688301958097577,0.15612071077843936,0.17713564241033958,0.19266865806129327,0.06687306658286982,0.06679566692987647,0.039267287870736405,0.02710526233291017,0.022427959793648068,0.044315495758948865,0.06375925675403592,0.0556529225527825,0.04310001680575565,0.037349687922376876,0.08278565144529652,0.09398676928467241,0.1104322073940799,0.11766238574042409,0.12216280582980844,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.1875415646804954
6,0.0687896813382755,0.10649227564750764,0.15610681891718148,0.17976588618598485,0.20199768019165418,0.10123839223001949,0.07592879408168904,0.03911248905203614,0.02746903940158732,0.02346392079247825,0.06862073986799724,0.07374743601428374,0.05547235203162989,0.04367378748226738,0.03907411057363631,0.1075146485627528,0.10584276027389262,0.11455903149818304,0.12278932474853453,0.12932752053204336,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.1829389701099515
7,0.0687896813382755,0.10649227564750764,0.15626887259745376,0.18865776766702855,0.21264910913611712,0.10123839223001949,0.07592879408168904,0.039047989744877575,0.028645510073093808,0.02502976989390865,0.06862073986799724,0.07374743601428374,0.05540358289015183,0.045580234038340786,0.04166622730058506,0.11027360821702163,0.10890348630758354,0.11739358740163845,0.12853118317092166,0.1361506324803497,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.178796261736432
8,0.0687896813382755,0.10649227564750764,0.15673616219415754,0.19726527828273388,0.21679343664932177,0.10123839223001949,0.07592879408168904,0.03937048712260906,0.030247677379971135,0.025714456733754453,0.06862073986799724,0.07374743601428374,0.05583146326935882,0.04806873104866629,0.04277435125604318,0.12094092535160643,0.11831214243759497,0.1261437624496849,0.14015233603193664,0.1463681894812975,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.1757536290576622
9,0.06952322403548557,0.10649227564750764,0.16298492197466338,0.19879205666782318,0.21822809039300808,0.10232198361203582,0.07592879408168904,0.04033797937402092,0.030503095348218556,0.025940701072810695,0.06938985457799568,0.07374743601428374,0.05734241669911072,0.04847952106465865,0.04314489657457214,0.1216928074280544,0.11835877841840219,0.12825913228463648,0.1409996648667951,0.14723216175986886,5.469040247678018,6.44969040247678,22.113003095975234,41.97755417956656,56.97755417956656,1.1736558990658454
